filename,video_id,start_time,end_time,duration,id,transcription,usability,bg_music,bg_noise,other_voice,only_music,only_noise,other_sounds,annotator,annotate_date_YYYYMMDD,0
AneesaSmith_HrYDsGL1gxg_463885_467557.wav,AneesaSmith_HrYDsGL1gxg,463885,467557,3672,98,I started in January of twenty fifteen so just over three years,1,0,0,0,0,0,0,ak,2021-04-12 20:19:17.001380,
AneesaSmith_HrYDsGL1gxg_467749_470821.wav,AneesaSmith_HrYDsGL1gxg,467749,470821,3072,99,I've been working on bridal parties and I'm pretty sure for just over two years,1,0,0,0,0,0,0,ak,2021-04-12 20:19:29.751656,
AneesaSmith_HrYDsGL1gxg_471253_479741.wav,AneesaSmith_HrYDsGL1gxg,471253,479741,8488,100,um I y- I wanted to try and get as_lgh much_lgh experience as I could before I like went full on in to like doing Bridal parties and w- uh wedding makeup and stuff like that because that was like,1,0,0,0,0,0,0,ak,2021-04-12 20:21:50.495010,
AneesaSmith_HrYDsGL1gxg_480021_480533.wav,AneesaSmith_HrYDsGL1gxg,480021,480533,512,101,huge,1,0,0,0,0,0,0,ak,2021-04-12 20:21:55.995354,
AneesaSmith_HrYDsGL1gxg_480925_481993.wav,AneesaSmith_HrYDsGL1gxg,480925,481993,1068,102,step for me,1,0,0,0,0,0,0,ak,2021-04-12 20:22:04.972407,
AneesaSmith_HrYDsGL1gxg_482713_492585.wav,AneesaSmith_HrYDsGL1gxg,482713,492585,9872,103,but yeah I've been doing makeup um since January 2015 is w- is when I like started my journey that's when I was like this is what I want to do this is what I'm gonna do and then I went for it okay next question is um,1,0,0,0,0,0,0,ak,2021-04-12 20:22:54.403851,
AneesaSmith_HrYDsGL1gxg_492969_497537.wav,AneesaSmith_HrYDsGL1gxg,492969,497537,4568,104,oh wait she has three <lgh> what is your favorite store to shop at um,1,0,0,0,0,0,0,ak,2021-04-12 20:23:44.106629,
AneesaSmith_HrYDsGL1gxg_497801_498369.wav,AneesaSmith_HrYDsGL1gxg,497801,498369,568,105,oh my gosh,1,0,0,0,0,0,0,ak,2021-04-12 20:23:52.483253,
AneesaSmith_HrYDsGL1gxg_498785_499273.wav,AneesaSmith_HrYDsGL1gxg,498785,499273,488,106,<noise>,0,0,0,0,0,0,1,ak,2021-04-12 20:24:06.902832,
AneesaSmith_HrYDsGL1gxg_499833_506945.wav,AneesaSmith_HrYDsGL1gxg,499833,506945,7112,107,I love forever twenty one like I said I really really love that but I also love um I love Hobby Lobby oh my gosh I love Hobby Lobby,1,0,0,0,0,0,0,ak,2021-04-12 20:24:40.279631,
